clock (30 min),Day,Total TNF (pg),Total IL1b (pg),Total TGF (pg),Total O2,Collagen (ug),Aggrecan (ug),Total Cells,Stem Cells,Pre-NP Cells,NP Cells,Live Cells,Dead Cells,Elastic Modulus(kPa),Swelling Ratio,Mass Loss(%),Alginate_wv(%),Alginate_Mw(kDa),Ca_XL(M),Viability Rate(%),Differentiation (%)
0,0,0,0,0,201917,0.00000,0.00000,999,999,0,0,0.00000,0.00000,2.56420,29.48256,0.00000,2.00000,1500.00000,0.01500,100.00000,0.00000
1,0.0208333,0,0,1152.26,322130,0.00000,0.00000,997,997,0,0,997.00000,2.00000,2.56420,29.48256,0.35348,2.00000,1500.00000,0.01500,99.79980,0.00000
2,0.0416667,0,0,2266.43,444319,0.00000,0.00000,994,994,0,0,994.00000,5.00000,2.56420,29.48256,0.35618,2.00000,1500.00000,0.01500,99.49950,0.00000
3,0.0625,0,0,3488.35,564273,0.00000,0.00000,990,990,0,0,990.00000,9.00000,2.56420,29.48256,0.35888,2.00000,1500.00000,0.01500,99.09910,0.00000
4,0.0833333,0,0,4549.57,688967,0.00000,0.00000,989,989,0,0,989.00000,10.00000,2.56420,29.48256,0.36158,2.00000,1500.00000,0.01500,98.99900,0.00000
5,0.104167,0,0,5718.66,816279,0.00000,0.00000,982,982,0,0,982.00000,17.00000,2.56420,29.48256,0.36428,2.00000,1500.00000,0.01500,98.29830,0.00000
6,0.125,0,0,6936.68,940996,0.00000,0.00000,978,978,0,0,978.00000,21.00000,2.56420,29.48256,0.36698,2.00000,1500.00000,0.01500,97.89790,0.00000
7,0.145833,0,0,8017.29,1.06733e+06,0.00000,0.00000,975,975,0,0,975.00000,24.00000,2.56420,29.48256,0.36968,2.00000,1500.00000,0.01500,97.59760,0.00000
8,0.166667,0,0,9196.94,1.20613e+06,0.00000,0.00000,973,973,0,0,973.00000,26.00000,2.56420,29.48256,0.37238,2.00000,1500.00000,0.01500,97.39740,0.00000
9,0.1875,0,0,10377.4,1.33711e+06,0.00000,0.00000,971,971,0,0,971.00000,28.00000,2.56420,29.48256,0.37508,2.00000,1500.00000,0.01500,97.19720,0.00000
10,0.208333,0,0,11679.3,1.48888e+06,0.00000,0.00000,967,967,0,0,967.00000,32.00000,2.56420,29.48256,0.37778,2.00000,1500.00000,0.01500,96.79680,0.00000
11,0.229167,0,0,12818.5,1.6167e+06,0.00000,0.00000,967,967,0,0,967.00000,32.00000,2.56420,29.48256,0.38048,2.00000,1500.00000,0.01500,96.79680,0.00000
12,0.25,0,0,13848.4,1.74776e+06,0.00000,0.00000,964,964,0,0,964.00000,35.00000,2.56420,29.48256,0.38318,2.00000,1500.00000,0.01500,96.49650,0.00000
13,0.270833,0,0,14829.7,1.87489e+06,0.00000,0.00000,961,961,0,0,961.00000,38.00000,2.56420,29.48256,0.38588,2.00000,1500.00000,0.01500,96.19620,0.00000
14,0.291667,0,0,16040.1,2.00155e+06,0.00000,0.00000,960,960,0,0,960.00000,39.00000,2.56420,29.48256,0.38858,2.00000,1500.00000,0.01500,96.09610,0.00000
15,0.3125,0,0,17436.3,2.13316e+06,0.00000,0.00000,958,958,0,0,958.00000,41.00000,2.56420,29.48256,0.39128,2.00000,1500.00000,0.01500,95.89590,0.00000
16,0.333333,0,0,18624.8,2.27168e+06,0.00000,0.00000,954,954,0,0,954.00000,45.00000,2.56420,29.48256,0.39398,2.00000,1500.00000,0.01500,95.49550,0.00000
17,0.354167,0,0,19562.3,2.4163e+06,0.00000,0.00000,953,953,0,0,953.00000,46.00000,2.56420,29.48256,0.39668,2.00000,1500.00000,0.01500,95.39540,0.00000
18,0.375,0,0,20712.6,2.5758e+06,0.00000,0.00000,951,951,0,0,951.00000,48.00000,2.56420,29.48256,0.39937,2.00000,1500.00000,0.01500,95.19520,0.00000
19,0.395833,0,0,22049.3,2.73061e+06,0.00000,0.00000,948,948,0,0,948.00000,51.00000,2.56420,29.48256,0.40207,2.00000,1500.00000,0.01500,94.89489,0.00000
20,0.416667,0,0,22849.7,2.83673e+06,0.00000,0.00000,943,943,0,0,943.00000,56.00000,2.56420,29.48256,0.40477,2.00000,1500.00000,0.01500,94.39439,0.00000
21,0.4375,0,0,24394.4,2.99998e+06,0.00000,0.00000,940,940,0,0,940.00000,59.00000,2.56420,29.48256,0.40747,2.00000,1500.00000,0.01500,94.09409,0.00000
